ke_stddev,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev,isoQ_average,isoQ_stddev,vortmag_average,vortmag_stddev,pressure_average,pressure_stddev,viscosity_average,viscosity_stddev,density_average,density_stddev,volfrac_average,volfrac_stddev,dpm_u_average,dpm_u_stddev,dpm_v_average,dpm_v_stddev,dpm_w_average,dpm_w_stddev,vtkGhostType_average,vtkGhostType_stddev,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.00571042,-0.000236338,0.024861,0.00139649,0.0599481,-0.0566418,0.0837383,-51.3146,57.4739,11.7034,4.34191,1928.03,6.35533,0.0130401,0.00390092,994.908,9.85233,1,0,-0.000353972,0.00441195,0.000382343,0.00256298,0.00565156,0.0217995,0,0,1,0.0075,0.0075,0.075,0.25,50,0
0.00579788,-0.000281372,0.025353,0.00141735,0.0602641,-0.0563602,0.0844417,-51.0454,57.668,11.5112,4.32757,1928.01,6.35826,0.0128705,0.00388336,994.888,9.86558,1,0,-0.000353571,0.00442985,0.000387588,0.00255805,0.00567479,0.0218458,0,0,1,0.00765,0.00765,0.075,0.25,51,0
0.00588534,-0.000326406,0.0258451,0.00143821,0.0605802,-0.0560787,0.085145,-50.7762,57.862,11.3191,4.31323,1927.98,6.36119,0.0127009,0.0038658,994.869,9.87883,1,0,-0.000353171,0.00444775,0.000392833,0.00255312,0.00569802,0.0218921,0,0,1,0.0078,0.0078,0.075,0.25,52,0
0.0059728,-0.00037144,0.0263371,0.00145906,0.0608963,-0.0557972,0.0858484,-50.5071,58.056,11.127,4.2989,1927.96,6.36412,0.0125313,0.00384824,994.849,9.89208,1,0,-0.00035277,0.00446566,0.000398078,0.00254819,0.00572125,0.0219385,0,0,1,0.00795,0.00795,0.075,0.25,53,0
0.00606026,-0.000416474,0.0268292,0.00147992,0.0612123,-0.0555157,0.0865518,-50.2379,58.25,10.9349,4.28456,1927.93,6.36705,0.0123616,0.00383068,994.83,9.90533,1,0,-0.000352369,0.00448356,0.000403323,0.00254325,0.00574448,0.0219848,0,0,1,0.0081,0.0081,0.075,0.25,54,0
0.00614772,-0.000461508,0.0273212,0.00150078,0.0615284,-0.0552341,0.0872551,-49.9688,58.444,10.7428,4.27022,1927.91,6.36999,0.012192,0.00381312,994.81,9.91858,1,0,-0.000351969,0.00450146,0.000408569,0.00253832,0.00576771,0.0220312,0,0,1,0.00825,0.00825,0.075,0.25,55,0
0.00623518,-0.000506542,0.0278133,0.00152164,0.0618444,-0.0549526,0.0879585,-49.6996,58.6381,10.5507,4.25588,1927.89,6.37292,0.0120224,0.00379556,994.791,9.93183,1,0,-0.000351568,0.00451936,0.000413814,0.00253339,0.00579094,0.0220775,0,0,1,0.0084,0.0084,0.075,0.25,56,0
0.00632264,-0.000551576,0.0283053,0.0015425,0.0621605,-0.0546711,0.0886619,-49.4305,58.8321,10.3585,4.24154,1927.86,6.37585,0.0118528,0.00377799,994.771,9.94508,1,0,-0.000351167,0.00453726,0.000419059,0.00252846,0.00581417,0.0221239,0,0,1,0.00855,0.00855,0.075,0.25,57,0
0.0064101,-0.00059661,0.0287974,0.00156335,0.0624766,-0.0543896,0.0893653,-49.1613,59.0261,10.1664,4.22721,1927.84,6.37878,0.0116831,0.00376043,994.752,9.95833,1,0,-0.000350766,0.00455516,0.000424304,0.00252353,0.0058374,0.0221702,0,0,1,0.0087,0.0087,0.075,0.25,58,0
0.00649756,-0.000641644,0.0292895,0.00158421,0.0627926,-0.054108,0.0900686,-48.8921,59.2201,9.97432,4.21287,1927.82,6.38171,0.0115135,0.00374287,994.733,9.97158,1,0,-0.000350366,0.00457306,0.000429549,0.00251859,0.00586063,0.0222165,0,0,1,0.00885,0.00885,0.075,0.25,59,0
