x_comp,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev
0.03945,-0.0243236,0.0896048,-0.001959,0.0799479,0.110417,0.180894
0.0396,-0.0244219,0.0897515,-0.00203021,0.0802709,0.111226,0.180732
0.03975,-0.0245201,0.0898982,-0.00210142,0.0805939,0.112034,0.18057
0.0399,-0.0246184,0.0900449,-0.00217263,0.080917,0.112842,0.180408
0.04005,-0.0247167,0.0901916,-0.00224384,0.08124,0.11365,0.180246
0.0402,-0.0248149,0.0903383,-0.00231504,0.081563,0.114458,0.180084
0.04035,-0.0249132,0.0904851,-0.00238625,0.081886,0.115267,0.179922
0.0405,-0.0250115,0.0906318,-0.00245746,0.0822091,0.116075,0.17976
0.04065,-0.0251097,0.0907785,-0.00252867,0.0825321,0.116883,0.179598
0.0408,-0.025208,0.0909252,-0.00259988,0.0828551,0.117691,0.179436
0.04095,-0.0253063,0.0910719,-0.00267109,0.0831782,0.118499,0.179274
0.0411,-0.0254045,0.0912186,-0.0027423,0.0835012,0.119308,0.179112
0.04125,-0.0255028,0.0913653,-0.00281351,0.0838242,0.120116,0.17895
0.0414,-0.0256011,0.0915121,-0.00288472,0.0841473,0.120924,0.178788
0.04155,-0.0256994,0.0916588,-0.00295593,0.0844703,0.121732,0.178626
0.0417,-0.0257976,0.0918055,-0.00302714,0.0847933,0.12254,0.178464
0.04185,-0.0258959,0.0919522,-0.00309834,0.0851163,0.123349,0.178302
0.042,-0.0259942,0.0920989,-0.00316955,0.0854394,0.124157,0.17814
0.04215,-0.0260924,0.0922456,-0.00324076,0.0857624,0.124965,0.177978
0.0423,-0.0261632,0.092364,-0.00328529,0.0860798,0.125811,0.177876
0.04245,-0.0262248,0.0924729,-0.00332093,0.0863953,0.12667,0.177795
0.0426,-0.0262864,0.0925818,-0.00335657,0.0867108,0.127529,0.177713
0.04275,-0.026348,0.0926907,-0.00339221,0.0870264,0.128388,0.177632
0.0429,-0.0264097,0.0927996,-0.00342785,0.0873419,0.129246,0.17755
0.04305,-0.0264713,0.0929084,-0.00346349,0.0876574,0.130105,0.177469
0.0432,-0.0265329,0.0930173,-0.00349913,0.0879729,0.130964,0.177387
0.04335,-0.0265945,0.0931262,-0.00353477,0.0882884,0.131823,0.177305
0.0435,-0.0266561,0.0932351,-0.00357041,0.0886039,0.132682,0.177224
0.04365,-0.0267177,0.093344,-0.00360605,0.0889195,0.133541,0.177142
0.0438,-0.0267793,0.0934529,-0.00364169,0.089235,0.134399,0.177061
0.04395,-0.0268409,0.0935618,-0.00367732,0.0895505,0.135258,0.176979
0.0441,-0.0269025,0.0936707,-0.00371296,0.089866,0.136117,0.176898
0.04425,-0.0269642,0.0937796,-0.0037486,0.0901815,0.136976,0.176816
0.0444,-0.0270258,0.0938885,-0.00378424,0.0904971,0.137835,0.176735
0.04455,-0.0270874,0.0939974,-0.00381988,0.0908126,0.138693,0.176653
0.0447,-0.027149,0.0941063,-0.00385552,0.0911281,0.139552,0.176571
0.04485,-0.0272106,0.0942152,-0.00389116,0.0914436,0.140411,0.17649
0.045,-0.0272722,0.0943241,-0.0039268,0.0917591,0.14127,0.176408
0.04515,-0.0273338,0.094433,-0.00396244,0.0920747,0.142129,0.176327
0.0453,-0.0273954,0.0945419,-0.00399808,0.0923902,0.142988,0.176245
0.04545,-0.027457,0.0946508,-0.00403372,0.0927057,0.143846,0.176164
0.0456,-0.0275187,0.0947597,-0.00406936,0.0930212,0.144705,0.176082
0.04575,-0.0275803,0.0948686,-0.004105,0.0933367,0.145564,0.176001
0.0459,-0.0276419,0.0949775,-0.00414063,0.0936522,0.146423,0.175919
0.04605,-0.0277035,0.0950864,-0.00417627,0.0939678,0.147282,0.175837
0.0462,-0.0277651,0.0951953,-0.00421191,0.0942833,0.14814,0.175756
0.04635,-0.0278267,0.0953042,-0.00424755,0.0945988,0.148999,0.175674
0.0465,-0.0278883,0.0954131,-0.00428319,0.0949143,0.149858,0.175593
0.04665,-0.0279499,0.095522,-0.00431883,0.0952298,0.150717,0.175511
0.0468,-0.0280115,0.0956309,-0.00435447,0.0955454,0.151576,0.17543
0.04695,-0.0280572,0.0957022,-0.00436253,0.0958088,0.152456,0.175391
0.0471,-0.0280868,0.0957361,-0.004343,0.0960202,0.153358,0.175396
0.04725,-0.0281164,0.0957699,-0.00432347,0.0962315,0.154259,0.175401
0.0474,-0.028146,0.0958037,-0.00430395,0.0964429,0.155161,0.175406
0.04755,-0.0281756,0.0958376,-0.00428442,0.0966543,0.156062,0.175411
0.0477,-0.0282052,0.0958714,-0.0042649,0.0968657,0.156964,0.175416
0.04785,-0.0282348,0.0959052,-0.00424537,0.097077,0.157866,0.175421
0.048,-0.0282644,0.0959391,-0.00422585,0.0972884,0.158767,0.175425
0.04815,-0.028294,0.0959729,-0.00420632,0.0974998,0.159669,0.17543
0.0483,-0.0283236,0.0960067,-0.00418679,0.0977112,0.16057,0.175435
0.04845,-0.0283532,0.0960405,-0.00416727,0.0979225,0.161472,0.17544
0.0486,-0.0283828,0.0960744,-0.00414774,0.0981339,0.162374,0.175445
0.04875,-0.0284124,0.0961082,-0.00412822,0.0983453,0.163275,0.17545
0.0489,-0.028442,0.096142,-0.00410869,0.0985566,0.164177,0.175455
0.04905,-0.0284717,0.0961759,-0.00408916,0.098768,0.165078,0.17546
0.0492,-0.0285013,0.0962097,-0.00406964,0.0989794,0.16598,0.175465
0.04935,-0.0285309,0.0962435,-0.00405011,0.0991908,0.166882,0.175469
0.0495,-0.0285605,0.0962774,-0.00403059,0.0994021,0.167783,0.175474
0.04965,-0.0285901,0.0963112,-0.00401106,0.0996135,0.168685,0.175479
0.0498,-0.0286197,0.096345,-0.00399153,0.0998249,0.169587,0.175484
0.04995,-0.0286493,0.0963789,-0.00397201,0.100036,0.170488,0.175489
0.0501,-0.0286789,0.0964127,-0.00395248,0.100248,0.17139,0.175494
0.05025,-0.0287085,0.0964465,-0.00393296,0.100459,0.172291,0.175499
